"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Land under cereal production (hectares)","AG.LND.CREL.HA","","22986771","23310085","23856074","23867246","24418282","24917094","26162146","26543722","27227288","26715619","27683001","28081932","25702816","27191547","26181186","27233124","26531884","26569088","25863472","26443012","26192845","26088361","26441585","26666943","27422167","29142270","29037757","29865626","29589319","27951916","26951097","26340921","27665121","30104051","29171960","31673357","31891561","29793132","29958731","30470096","30091258","30976738","34352736","34967237","36903383","34872429","34129684","36466169","36669019","38230996","38467931","45565262","51553618","54129449","47998597","54633169","52555715","54505288","","",
"Afghanistan","AFG","Land under cereal production (hectares)","AG.LND.CREL.HA","","3313500","3425500","3426500","3446500","3444500","3446500","3124500","3041500","3081500","3178000","3400000","3923100","3337000","3342000","3404000","3394000","3388000","3392000","3183500","3018500","2909000","2799500","2649000","2562000","2434500","2347000","2496000","2331000","2290000","2253000","2345071","2250000","2631882","2757000","2669450","2691670","2730401","2792105","2532871","2406000","2094000","2238000","3004700","2667000","3030000","2989000","3021000","2714000","3192000","2962000","2820000","3143000","3182922","3344733","2725863","2793975","2419676","1912634","","",
"Africa Western and Central","AFW","Land under cereal production (hectares)","AG.LND.CREL.HA","","22506121","23139749","23521897","23682246","24774354","22626585","24016425","23358857","27551782","25652987","25022578","21520832","25192236","24009119","22091216","24057598","22178287","21076038","21016349","22014894","19920623","20578251","21373022","23574750","26006920","29387071","29871895","31494026","33706876","35323092","37573727","38658582","39274228","40620892","41028129","39281226","39435116","41027206","40761372","40154402","40138853","41806944","43088894","41725931","44942537","46889460","47293563","49566229","43814698","51103217","48745767","50537474","51743941","52540225","53330714","57321064","56830615","57302030","","",
"Angola","AGO","Land under cereal production (hectares)","AG.LND.CREL.HA","","657000","654000","645000","644000","603000","609000","632200","653000","721000","632000","649000","658000","718000","721000","721000","726000","713000","712000","709000","704000","700500","699000","695400","688800","685800","899000","956000","1006000","982000","774281","891200","1011875","1201385","955000","737214","795291","791198","868838","872348","920726","1026812","1170009","1140009","1509879","1568233","1622092","1682171","1156211","1849528","1878155","2132989","923085","2056204","2052765","2055286","3107989","3830618","3245206","","",
"Albania","ALB","Land under cereal production (hectares)","AG.LND.CREL.HA","","347764","332882","298725","342158","323238","328443","332935","323150","322299","327282","312203","331220","339400","334040","328500","350500","357000","356000","365800","372500","361600","357400","350300","350400","343000","349800","345900","347000","348900","321000","215339","198700","247936","262515","227137","205526","212488","210906","177800","178200","165800","157600","153340","143900","147655","140870","132390","149100","146200","145700","147599","142800","142000","143149","142600","148084","145799","140110","","",
"Andorra","AND","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Land under cereal production (hectares)","AG.LND.CREL.HA","","16741296","17344455","18257526","17974143","17818907","16366581","18089789","18295784","17778719","18437419","16974851","18814136","17829171","18358511","18651247","20086674","17717139","18734560","18435508","18698250","18088642","17935078","18565804","16976363","20427736","19310966","19279663","18465801","20567447","22331064","22844404","23010988","22123753","21268807","19416787","23259975","18600411","22132825","19544247","18417387","19184700","18616970","21339684","21757641","22204096","21364468","20632614","17799504","19731047","19921744","19650831","25774237","30548313","31976549","26417477","29143572","28023529","28905960","","",
"United Arab Emirates","ARE","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","12","165","350","376","375","890","900","952","970","991","790","673","624","1298","1721","1552","1079","772","768","723","283","243","236","231","208","173","113","108","107","106","87","107","138","295","191","312","21","195","119","193","571","328","","",
"Argentina","ARG","Land under cereal production (hectares)","AG.LND.CREL.HA","","10287500","8699220","11468110","12281330","9866080","11122075","12185670","12408430","11884800","11221810","12321590","11702050","11688950","11538000","11780050","13051770","10542300","11425900","11131900","9952900","12377000","14052800","13599000","12337485","11508250","10119555","9631373","8835955","8515784","8504919","9374145","8661890","8327985","8557865","9011225","8896900","12252838","10551285","9702535","10968267","10786923","10624301","9725016","9439752","10115019","8677568","9908567","10904474","7966743","8304862","10986263","11444040","10570463","10518090","11712970","11750567","14134792","15111246","","",
"Armenia","ARM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162767","181430","158077","133512","166633","186100","182500","164489","156883","191699","184869","194815","198015","202111","157557","172630","170141","164014","155666","156138","170172","176945","180626","190209","194717","150892","127436","","",
"American Samoa","ASM","Land under cereal production (hectares)","AG.LND.CREL.HA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
