"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","3.21810586192479","3.276015481271","3.45553450838242","3.32776193009786","3.34006544906907","3.38066820488714","3.86108424841435","3.56291540180204","3.90703440922131","4.0810021944185","4.19821551717787","4.2874187810052","4.38067774515859","4.81075408762261","4.92578698684737","5.05917666238449","5.39630746596683","5.49994543994396","5.41377918442905","5.73421369130066","6.45416072804416","5.65774486783799","5.87198228784237","5.2224266932137","6.28676433648723","6.15051088145426","5.65189806837249","6.66141367442788","5.70895254215834","5.57915971917879","6.7869898733643","7.55225689058053","7.03018519937255","8.26908691527608","8.45584998578707","9.26672940618652","9.48786473378257","10.1690514714511","10.3822995147872","10.907000949425","12.0947237215229","12.4114148503381","13.6518755372392","13.4500089645385","13.9648684354487","14.1485773582649","14.0238965483571","14.1368354532655","14.4543022181562","13.8551000196582","14.8293015654811","0.193987057579515","0.207789457024566","0.214741670477499","","","","","","",
"Afghanistan","AFG","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","41.39","41.71","41.53","45.03","47.14","48.88","53.55","55.92","56.63","51.84","48.61","51.87","55.75","57.43","59.06","63.74","57.22","61.53","60.79","61.14","60.99","60.43","58.86","56.45","52.66","48.21","49.94","49.36","49.13","52.9","60.72","58.85","62.12","65.68","68.6","72.2","77.29","81.52","80.59","68.54","62.28","75.57","77.65","75.6","84.49","78.25","85.68","80.55","93.36","92.79","88.45","96.99","94.08","98.2","97.49","104.32","98.69","96.52","","",
"Africa Western and Central","AFW","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","0.0375910523885493","0.0394846721434948","0.040957589679385","0.0424504107319046","0.0430701156962921","0.0428171002211587","0.0454356465301005","0.0455477870062212","0.0486931821472215","0.0505092513959734","0.04945576512271","0.0458035628993377","0.0465268669663335","0.0513043926243698","0.0510567570550399","0.049550872390656","0.0484695101183969","0.04996419436531","0.0504198251658975","0.0521217002246074","0.0538028066106592","0.0545770095720982","0.0541564388421189","0.0565549411343696","0.05997804247995","0.0633012215895978","0.0635636901699894","0.0696570207492043","0.0738598514768289","0.0753837435928207","0.0850226839257242","0.0880406919385024","0.0922493070515249","0.095051009881246","0.0996866200481365","0.104409600881154","0.106626530347559","0.113822947744461","0.119205429989056","0.119237217159735","0.121713414766953","0.126672364699332","0.133503304017471","0.138493925157299","0.147625532365628","0.154502664748693","0.149988585549327","0.164041665113867","0.156937775756041","0.173405121522977","0.167164994570069","0.181952662354249","0.181735043217161","0.195361277560534","","","","","","",
"Angola","AGO","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","14.74","15.27","15.62","16.34","16.88","17.13","17.6","17.64","18.6","19.51","19.62","19.13","20.06","19.44","19.26","19","18.55","18.61","18.06","18.3","17.94","18.21","18.52","18.78","19.1","19.8","20.05","19.96","19.96","20.05","20.95","22.41","22.24","25.04","24.19","26","25.93","30.13","28.95","33.81","38.9","44.06","47.52","51.31","55.94","56.92","64.55","68.71","85.89","90.87","99.25","81.63","111.42","97.02","99.96","103.02","103.67","99.02","","",
"Albania","ALB","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","21.35","21.94","20.72","23.37","22.24","25.48","27.3","28.02","28.35","29.1","30.18","30.69","32.87","33.83","34.43","38.1","39.81","41.54","42.28","41.45","43.09","44.48","48.45","44.96","44.34","44.06","45.59","44.32","49.41","48.68","41.35","45.6","51.52","57.28","61.6","62.09","58.81","61.38","60.76","64.01","65.89","66.38","69.58","72.89","71.65","74.42","75.45","77.74","80.52","85.65","89.91","95.07","95.65","96.85","100.03","103.11","104.13","106.13","","",
"Andorra","AND","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","3.19683713817178","3.25667331298273","3.43579651462199","3.30788069475379","3.32132121572306","3.35704513483825","3.83416302021285","3.54037115040815","3.88046067249868","4.05131696605136","4.16972502029456","4.2569739897125","4.34989747314256","4.77969206298423","4.89572937193066","5.0284830262973","5.36184754589708","5.46724941722529","5.38356552741786","5.70714017903519","6.42223238711508","5.62994539992463","5.84583050743372","5.19807360584091","6.26407601013992","6.12991977005854","5.63094786354108","6.64045888369519","5.68689937992558","5.56261400914761","6.76931160975088","7.54008137704477","7.04260720547682","8.9176335955433","9.20287721110167","10.0697368131871","10.2023652382457","10.9546023239115","11.0957035377869","11.8263506125982","12.8398015103449","13.3851603926356","14.4910951330366","14.3632580033304","14.8206015967771","15.0674240214427","14.8013318923294","14.9752627203307","15.2306588330764","14.495412368824","15.4946865217456","1.043046328555","1.00153215441698","1.05372775255156","","","","","","",
"United Arab Emirates","ARE","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","4.52","4.59","4.74","4.92","5.03","5.18","5.32","5.55","5.87","6.28","6.61","6.43","7.26","8.31","8.15","7.49","8.94","11.62","13.21","15.58","17.14","21.64","24.71","23.36","24.19","25.26","25.15","31.17","35.04","36.55","43.92","54.63","57.96","62.06","70.61","76.78","92.45","94.26","142.6","182.39","120.24","118.09","109.61","117.99","119.88","110.17","109.77","119.39","118.34","128.69","75.26","75.48","76.51","95.44","98.09","106.47","103.54","110.44","","",
"Argentina","ARG","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","","31.51","33.3","36.31","33.75","32.03","35.65","39.07","37.05","39.93","38.99","36.43","36.29","37.8","39.97","40.85","45.18","44.9","48.23","48.65","44.7","48.31","49.21","47.89","49.21","50.21","51.55","48.76","49.72","46.23","51.34","52.84","53.09","53.13","55.83","59.18","57.35","62.26","66.96","68.75","69.34","69.51","69.1","71.73","73.42","83.3","82.34","90.27","91.4","76.33","88.2","92.81","86.35","94.07","95.12","104.15","100.73","105.56","97.2","","",
