"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.9958940001044","15.3347224986093","13.9744046658382","12.8818439189058","12.5420404083908","12.3513412361047","12.9282981630427","14.2661285796436","14.3945431239765","14.4449502911819","13.5814102018324","15.1847764493837",
"Africa Western and Central","AFW","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.6448213941234","85.6325633779635","","","","760.711066884473","240.083463604787","180.886396771449","147.780308362234","194.735966563136","223.247381344553","131.074912162873","119.007813439182","66.8015371647774","56.6608937071859","46.5316593369036","37.1534956334183","21.4383279074087","20.7080593979415","20.844432412258","31.9407617358022","35.3911511904958","33.6661054962854","31.3320988964253","34.7550541132254","33.94364041394","44.6603330524108","60.3309740494639","51.6287108282715","67.5952079484954","78.6879792945006","117.219186037603",
"Albania","ALB","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4538639208255","102.519434311342","64.4704411333546","46.6084962607158","18.8339089219613","15.0390671660922","22.3692470200479","23.7735966169573","23.5183100146711","31.2833673007354","28.3557205760852","26.3751195857912","26.8073294009757","21.7891805574256","25.8464872804422","27.4819817138607","27.0314462277847","32.9069794229935","38.8560613126543","46.0444730557425","50.2889249953247","60.3862950078848","66.5335456456443","63.761521379996","73.3185382907625","70.6486151530483","75.0854491312473","65.2740236403465","63.353892561719","74.6777231211024",
"Andorra","AND","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","19.3878463641955","18.8909751518718","20.1576140700061","13.9876910704174","10.7299634680028","14.8670877223739","18.5632714483671","20.7240052366939","23.4034688444464","30.858252073302","35.8155600379831","46.6013548308641","55.2560428399715","47.0146805803112","65.4171972580427","61.1392424675637","49.7423000926157","55.4286288043483","48.8877119087842","93.3336865626537","46.2283306008647","35.7191930020236","30.5551426163691","27.6719318453773","29.5945044681267","38.9848417579252","41.6825294657416","44.742849204167","48.5365413234134","55.0294127610094","54.2417099417586","58.4932935172091","159.890183546743","133.474955613907","114.783966038451","74.2469415660219","52.8927514497342","43.1591873972818","36.8066405169797","41.4356014785929","30.9578740838785","27.7397316089295","26.2815033344271","27.878287954302","29.8799341576294","30.4104040537488","33.3074386896064","36.0184803682357","55.6759745489136","65.8834660558174","68.0622711575428",
"Armenia","ARM","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.160049321457","16.3467495701756","24.5820006708766","31.7076435721137","36.7643608733105","41.1894948588224","53.8084288501274","51.6822939077758","64.6369814678621","69.9371558433651","68.8336104106055","56.5888045570056","38.5750301830878","31.9881908994372","31.7603364781345","29.2430682607578","54.7919798640002","64.8981606877843","70.564294282139","69.1932646471985","73.5435572836875","70.522975109356","80.4154627750131","91.329464232523","85.7012511750197","84.6108141402352","85.4966209751411","105.200346048462",
"American Samoa","ASM","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","External debt stocks (% of GNI)","DT.DOD.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
