"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1382818945275","28.4600405646666","30.2314217155694","31.7057704502219","30.8709032009106","25.4959027636962","23.712540005819","26.9064748201439","29.2150359314538","28.7791426422662","33.5810162991371","35.1612903225806","32.5144199957274","33.2519332519333","30.2928683210373","28.9319934564151","28.5056967572305","26.647564469914","23.8258550178984","23.1114770671799","21.5389472592588","20.5750010423655","20.5511841444614","21.5752457811446","","",
"Africa Eastern and Southern","AFE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","26.1165403465529","21.5863827037418","20.9328623018092","19.5378889450028","15.1043179747581","14.6040135082266","13.5688930893849","14.5969322257133","15.8366174081561","15.5901926232595","17.473857674168","17.4544287100102","16.8758404608505","17.128518874019","17.0807366516219","16.5357126968732","15.3064794637268","16.5100583765343","15.8721221147775","18.7207150306631","18.1678266384708","18.1866652990016","18.8553973398575","20.0019131189624","19.3805531406661","19.87223758163","21.0122098506148","22.8110063585197","23.5103371682555","21.812426986308","24.075589903646","23.9710794404739","24.5173264807713","24.5410466491195","25.033979168195","22.7321029936384","22.4982420524521","21.6969906632834","22.27738388091","18.5186489077186",
"Afghanistan","AFG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","16.115709744894","16.5991981789571","19.1057020506971","14.2011896117076","13.8888936728392","11.2582791310323","8.41269813681027","5.1792826071544","6.4724917522858","6.46687681860701","5.46379407704636","5.46117106687832","6.54596174882259","7.30769221351084","8.76288652354129","9.76525842685535","13.6521735928166","12.4153493064084","13.8720537510231","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","72.7803281142531","69.3558630028775","56.7977253435129","44.8247619943962","36.5470929936265","41.9571941050639","38.2646789973855","34.3086305273149","39.50331136317","39.969301004166","37.0323728161081","33.5966460969239","34.904246165026","35.0086956331445","31.1068857934266","30.6958855595292","32.1700422463202","33.6347641917701","31.5326460578584","28.6541374935132","27.4816588600401","24.8349882045963","26.389213612694","24.8728245961945","24.9388775079812","25.1313547228486","21.3633459526217","20.5210741519774","22.0734512214138","19.4086218463505","17.9131392947687","18.1466207496115","18.8300218675582","19.9904231816902","20.2545944418955","19.8529403633651","18.3398213738992","21.189040851086","24.8316150631275","27.8166254131145",
"Angola","AGO","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","30.4932189762628","30.4932189408191","30.4931731253335","30.4511106101187","30.8936687341035","27.5565797901657","23.3007709224417","25.730579355956","30.8040531755393","42.8208588143755","28.1973097641434","26.4243536899122","26.6675788564223","26.1429693456408","27.5004618720416","34.2024891287855","27.2147084386719","24.1303045822126","21.3859144317682","19.7856530950657","22.7622595620963",
"Albania","ALB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","35.805834723522","36.3861156517659","39.2829001338862","37.373346292896","32.9255350791543","33.9319591391124","32.0348354243886","29.4538695223043","29.957542067619","32.8770715994479","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","21.2785134595821","18.0637836927019","16.6594964497617","19.7425812412737","19.7347080990611","30.7962591863962","34.9886815804971","35.2640459672128","33.8968868065619","34.1967670412024","36.8696660470205","35.6975146295823","34.4619785970732","35.7784370256008","34.5578335598682","30.3086626557515","31.4136118408633","28.3285481336596","28.052535580742","25.6746800876021","25.8190278602373","25.2238551267199","25.052534735067","24.1010254948933","","",
"Andorra","AND","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","29.8693448256181","31.4774480826977","30.0954273054169","29.3848608903243","24.8985790757915","23.6587780848701","20.9280831243913","22.1944130850418","19.5239769470354","23.3215714903154","20.5708440857643","24.2357533382658","27.2908634446403","25.4691043930914","25.2702126705762","24.4935501156282","19.2023435477073","22.5607449276915","22.6592876820858","20.5050220796591","23.0221013519995","21.8178770881902","22.9208658122738","22.0562914040987","22.5764180510321","23.5036759245088","26.4625567209688","27.375781596684","29.1899655049598","27.2236845777051","24.6345976403189","23.7712972872135","24.143200309253","25.1406220229906","28.814882824321","28.943499294045","27.5759092467846","25.7234614217409","27.5156872809225","",
"United Arab Emirates","ARE","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5025971503274","22.5456815521944","22.1297618369823","19.9785190602061","20.1668488058722","19.2703996822451","25.1991828204692","25.0980915438506","31.6335487625593","27.1211143215278","23.1614755622093","21.8848069905589","19.2579769730643","22.1684356520441","25.6391794493979","26.0197272140739","25.2956206298763","23.5115029839082","23.83282002689","",
"Argentina","ARG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","23.4792342590099","27.7664470644615","21.7309350217721","18.2728788276194","21.4739126232485","22.4276757468008","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395903282","30.9416888037918","27.8001595709474","25.8567694613329","25.2577862895999","22.6910887215998","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.6881104233422","19.9656232520199","18.5004105114971","19.6238724452255","20.8260515469902","20.9707691548621","17.8629278753399","17.5334874363903","15.6259653308051","10.8539052402585","14.1469621012504","17.5512703642799","18.8882641376513","18.6804872364334","20.099113202908","19.5727758777106","16.0531123592112","17.7055338062046","18.39845891735","16.5019865298875","17.3057789012596","17.2628810064651","17.0707048841583","17.6632278606203","18.2125671747754","16.0469030586883","14.5750382759291","13.7765982499445",
"Armenia","ARM","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.1476843569867","39.7791441837119","1.6312582610658","9.8722030338445","27.9421579326358","20.8085693442274","21.0954471662552","23.2656792922768","22.6863518699904","20.7688804703858","21.92233140183","22.9043552862001","25.4182967616869","28.3479499830947","29.1225577000264","35.765438994108","42.2254576837845","44.3516229755633","47.9428358213473","41.1450508029059","38.8147549853077","31.9217989798477","24.6809527475996","22.1524900726313","21.2830406859193","20.7305301265762","18.0155086734171","18.4217402148728","22.3997393267701","17.4475860274548","17.2245621304291",
"American Samoa","ASM","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross capital formation (% of GDP)","NE.GDI.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4226108500522","21.8038781998919","24.3157584078632","25.3058028017556","25.9567822296713","27.630494295804","28.9064841401046","28.9978486912872","20.4969231481053","22.1481424211967","23.1806839166706","23.5173782955538","26.9007965242578","36.184010570466","37.3541734260605","37.4135959493835","37.690449843057","28.1155186700586","20.7382423607087","22.1305858895137","23.7310770523306","24.9637422560304","23.928436571981","27.1825744583454","32.5672104654428","36.9871956486532","42.5244286098362","55.827644702833",
