"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632762559.26534","717476292.43707","760302230.599189","852639258.051431","954961327.55144","1059577300.02159","1199748843.59967","1304024085.41682","1362017020.10632","1471535172.30904","1538188489.7086","1591171092.88807","1817009854.38605","1780899093.48812","1699600368.39217","1946670687.45451","2234526097.3358","1920274304.09943","2353360780.89608","2194516023.61343","2585668008.59826","2411358819.85387","2274835957.3057","2290680023.36754","2412460160.44556","2528399466.58636","2630866335.21898","2770959446.08271","2814340575.09256","2857452094.82014","","","",
"Africa Eastern and Southern","AFE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","141351281592.317","138346209728.843","128270357942.098","133707527651.234","156957100495.811","182672390069.834","194906769780.828","194912935366.617","207966523527.098","214299614996.365","220643385021.16","225590662415.088","241585742863.329","251443041772.826","259162873852.686","245950290348.489","244725839208.878","249312220911.856","244978774940.579","245026375130.968","269753728678.89","335675803114.002","429205748831.658","494770027805.507","559233623892.532","617235417984.636","650418938161.251","711735071541.5","792450840032.632","881044332776.556","925163170922.595","945207636682.708","915124223681.224","878828297148.459","885547995074.842","939636552866.026","985609139639.052","926757146858.915",
"Afghanistan","AFG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12652732872.4915","14872475744.9014","16077121255.9847","19583172656.8063","21249374020.7611","21141556283.2619","20583397306.3902","19605172554.7726","19316759739.5405","19148650193.2814","20043825793.1074","19564088227.9105",
"Africa Western and Central","AFW","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","11426212323.2297","12544239341.3889","13456485112.8628","14286546043.3121","14928186540.9547","14450416426.7325","14969829981.2633","16802439242.0776","20502172393.2923","22050911381.3669","24349120448.9278","27986034218.8654","39922041353.5668","48780641683.05","59092013838.1275","65380058110.5662","70649490909.0328","84769437148.7338","100705889122.158","122245302721.799","144350096784.986","156618977932.615","131873486431.882","122636473423.933","114505316767.518","116129902830.707","122295095666.378","112368368590.808","113887270916.462","113922141969.046","119374625972.869","104238451541.717","94132552569.0403","94469673528.9003","104464104224.376","115474663611.274","116807652753.706","120440618189.578","121174405227.91","131137486779.463","147220161963.701","168947750572.98","211138706982.199","256512588890.306","322497334293.188","385544115625.235","477464407805.151","513891575359.994","548180591806.519","576088889150.674","655311770017.389","733155853551.69","806482684054.327","795256798031.273","728361366839.401","681112841486.5","699811220281.993","744332245624.021","755344022681.919",
"Angola","AGO","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","5912816759.32414","6971971025.66405","7111670036.07055","7213010852.88338","9798457963.23444","9214842694.61915","16954876592.8644","14811299006.7373","","4453500000","6075613389.66087","4670581292.63656","6636734758.1911","6316491061.47174","5275562190.57221","5903014327.99416","6690083579.90498","10317800628.4108","12827032872.0031","19001401454.2493","26682963583.21","36533201173.644","51492997442.4233","65659539400.85","71273450786.3096","75543980237.6407","82606027251.3298","104804657710.709","124418717059.404","134935090329.982","125915232844.516","108710652624.125","102809282435.022","98895545962.2256","94529281168.9386","73421083444.2642",
"Albania","ALB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","2114290475.94353","2250946648.84473","2308259449.58612","2445669340.53684","2144674610.30695","1340594874.79075","906184212.294099","1024263065.23594","1216680690.37683","2035220171.98039","2824014635.49746","2532910513.83289","2701345367.82359","2956412176.31343","3408708296.46354","3927923955.74368","4193153284.64778","5024895333.53469","6366854113.56867","7899213432.20734","9131239744.27605","10273336546.4704","11883464800.9361","12528132732.2428","12708645464.7829","12803715190.2171","12659042748.0003","13156878985.4904","13116565123.2998","12634903056.2053","12421239109.9131","12331894495.1707","13936110158.6568","14902819468.2431","14773574588.8005",
"Andorra","AND","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","475727943317.787","431027615326.058","436622634006.802","444716451689.203","483832554559.719","508463091533.743","529439665619.225","513793444827.769","604204849423.726","458743936247.74","478623874980.359","470484356292.944","479024100777.422","504559696288.621","545317319011.466","583139553556.11","600897829846.313","617268246919.788","671976965401.922","714206602245.836","714673006819.748","774259576891.282","919012982584.37","1072825474996.48","1266469866157.22","1490563909022.59","1794627100619.88","1862220473392.24","2004720201883.93","2141195441450.55","2527299843824.5","2769206577796.95","2843904136240","2708786964923.97","2579360898088.78","2434912846001.93","2565479049750.84","2707765567633.75","2587186767097.75",
"United Arab Emirates","ARE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98424973047.7352","105599045558.086","107622937088.949","121688462672.802","147125913781.565","172049311180.619","208706760117.355","244207313026.039","282949571000.644","277083140714.063","285540812243.736","313384146047.084","358578323264.81","394073667471.698","408498689468.092","397053277786.665","379778722984.623","372749792235.375","399411711533.966","424763690690.61","",
"Argentina","ARG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","24436915654.103","27307536017.2301","30359663534.4139","28316034885.8704","28110535227.8209","30585419212.241","31582382532.011","35775760791.007","36156762383.0369","45649404115.3341","62985567014.5745","70261202934.7402","61903678901.7335","59112910817.3592","59256732622.5587","72112302460.3745","81313009206.645","79780400776.3327","76943271518.4499","83947790179.624","84067984525.5595","81711398394.0999","92716101175.1247","111879826532.584","125261891812.971","94313119785.3069","103923582583.802","127810746338.002","203570469410.014","241814720362.143","262188226196.828","256347178436.284","272663359670.34","290495337988.436","289536836748.234","276294736658.033","275544288842.814","260811643580.081","152402040124.724","139193101197.153","129809211585.293","165719405446.532","215384912406.676","258375452843.136","307283970854.916","315501635047.992","378137209478.515","442106779404.792","495259909345.501","541952763581.473","525940080584.246","542376272989.615","532590253761.792","578841856263.671","550426447800.349","500111583145.926","405204604397.681",
"Armenia","ARM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1063711739.66529","1200546515.15212","1311101987.65844","1507765895.46233","1641719919.4229","1746181542.57671","1824147622.20799","1893129003.13691","2031449553.05025","2172115724.46926","2436136799.15933","2892531561.71732","3546208611.80142","4583264569.13309","5964254777.393","8093596870.18913","10461446892.268","9633680656.73135","9988481797.01453","10160338267.6272","11192555390.6362","11911914318.3941","12047457836.3324","11738591730.3917","11045765150.2086","11623145814.3118","12539458316.7862","13834503213.9453","12514907463.1531",
"American Samoa","ASM","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","107885010.374034","134644016.910459","150097123.788156","152571916.563597","166488706.050596","195964410.717051","223213604.120424","245131890.97681","300929073.17666","373136823.521066","399819783.374354","426253642.771239","458051851.811105","481299062.17433","523299391.315316","568173424.775256","558753571.219178","610539735.537895","650806651.331683","678919704.272684","717457990.843418","767360091.508278","760663010.71885","756667665.754285","835399284.413674","919598865.67275","1011832399.54972","1142183838.67231","1267919219.76039","1302620798.75233","1179903529.07501","1116801930.26816","1103969196.12055","1155839505.54123","1154411974.86136","1180894969.99604","1202388805.2111","1283580999.79159","1366907933.0837","1528950640.94049","1569739103.22168","1394997143.77045",
"Australia","AUS","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","20091589024.6531","21534103745.7745","23475985936.7414","25820201796.2751","27277805034.477","29901424956.6266","32731207088.3754","36442407339.1299","40863400469.7659","44845749633.2039","51129305042.9592","62119678631.7095","81487775937.6125","100155353727.675","110229197508.476","114520161463.003","121418516721.798","139050105103.335","158834039411.225","176830559298.229","183062430514.971","177828824036.507","186678246641.463","188952960474.157","196786131392.572","203821463400.082","233103000380.493","261631221914.785","295181914979.951","314397192224.485","323676659139.258","333249498966.476","336135780489.049","347888209604.711","374285701263.289","405483662800.444","406836477444.148","405524703059.732","404481667992.145","390486249106.882","392786365258.733","420106635853.72","512803326666.15","618102879861.315","705507832364.846","776910152645.548","899523264908.102","955475482536.964","1027320248465.02","1124159547094.07","1368690082993.51","1526863400178.01","1529421095384.19","1440831947977.33","1309758706101.23","1268539634472.79","1328936835420.24","1397555434163.32","1380167803129.02",
"Austria","AUT","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","7542193505.44714","8160812049.70646","8952334691.99851","9711756127.16677","10733894518.9912","11490052086.3633","12488031184.1324","13757221942.2535","15443421414.5244","17375538464.5143","20827473371.481","27135197432.424","35357094636.4697","41973161483.8511","45227642591.1561","50391969952.5421","56986218163.4384","72612079132.5786","86525729929.8978","84581170381.2217","78645874205.1627","72607743507.954","70106042140.232","70825979699.3274","81882181234.0288","104616120040.533","137094988298.442","147034433604.21","158408233019.377","169120913207.493","192283092098.236","196613461224.482","207435406526.503","224071373875.956","239520714311.994","235529407795.138","223132048657.623","216445411767.95","214597274149.417","203403145827.667","201783306607.892","227595226508.83","275818117266.914","318541897236.187","342843451807.149","369206549709.121","408644600527.339","408848764791.255","414882680047.547","424545777489.332","422005294901.861","429923727984.966","430446238039.503","410097061082.222","403675052292.699","396187902438.113","433467217641.524","456328214171.276","428193552098.27",
"Azerbaijan","AZE","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","602280562.324816","1390209418.70934","1883823375.64837","3237406857.72222","4042089641.01943","4552583312.55809","4872867003.05078","5307072597.09022","5819760695.12551","6702443799.32276","7825157084.91764","10680529127.5275","16111294763.3417","23292642788.7321","33947646108.4822","42901068759.1129","48633505537.9773","50106859850.0597","59543216590.3017","69737335416.3854","73360860873.2061","63361890934.6455","46471710632.4044","40266922924.7474","40401421784.0625","44994907072.6147","44973920722.9409",
"Burundi","BDI","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","206666179.554777","229705021.266601","249136186.896266","218415484.943328","186278497.787243","178801235.584619","176530724.12111","178807836.954774","235185344.33884","250901658.136643","245081171.320459","301256262.156112","348631154.078755","414529128.473886","461778313.282136","545551150.710919","581439793.958895","720310248.680174","896643348.126934","1074923410.54021","1034715176.42408","1019182029.11059","1009821428.96855","1131169775.87282","1201972390.95721","1294120780.36516","1302305820.07593","1210929034.44108","1187230148.15055","1225750918.70711","1192299103.38156","1044187086.06245","955734527.501482","916444361.721301","868857678.24986","906257045.78629","906190364.552933","866791081.751336","859340957.831752","843865403.329829","862872242.16839","827371837.094081","887399105.861116","995605101.469128","1175616040.7913","1332112571.50257","1516886419.58533","1667652235.95457","1895318474.77788","2104253277.07175","2314466585.38024","2477681780.42805","2603067050.38991","2651125129.90566","2800630948.99131","3026208534.47893","3136471922.51222","3185526900.53732","3180747863.41516",
"Belgium","BEL","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","13405546015.7945","14226174724.9565","15668565678.5184","17067196863.0391","18553179286.3821","20097046130.0383","21872541388.0785","24221708058.966","26939395914.1525","29788312229.064","35350537140.9616","45680738547.4617","58593476575.9163","67734022237.7547","74457868971.8877","80808471279.8838","94084075934.9798","115562722036.487","137826291586.867","130079947219.276","110218089875.51","92902068823.0598","87358379673.0435","86990552702.5463","100256153980.868","129247168084.123","168426362040.138","179183426893.317","192493996352.757","205932197393.285","232729156195.684","236050839568.009","253794929772.071","274407357627.372","289994918534.057","289648046571.827","270640520218.741","265688171278.684","265143731531.12","251267324604.202","247973665881.685","280431837746.661","341879526384.018","395328344465.377","420820967846.749","453733624706.521","497717127634.132","505660362113.359","511504386940.992","512154309724.699","523125290180.437","534270156775.138","535793201983.291","513436078693.143","491386576536.751","483002988302.816","526306878016.723","551051222689.232","522103639223.309",
"Benin","BEN","GNI, Atlas method (current US$)","NY.GNP.ATLS.CD","","","233081229.738465","249823244.169907","271737292.680725","292322660.0057","308228097.870337","314614257.869296","333126836.853865","344766354.418561","352437258.159731","347345806.653306","397398713.189866","487765466.008819","599423362.321774","668407887.062273","706757920.062892","787514355.299621","876798040.000618","1113346639.36234","1433291317.28564","1561860098.36277","1427033829.73308","1156983592.88756","1121503707.18936","1114750039.99097","1202357029.30217","1390353352.82555","1698144638.5809","1635602519.9722","1825173515.18725","1953417680.55159","1947363950.65055","2105178994.00122","1894285356.5713","2098301492.3842","2130455437.58823","2374740826.91046","2403760111.51107","2762941343.11849","3285463000.04615","3783167899.42479","3890714812.83402","4536166167.72672","5655949819.6529","6571349612.86414","7082441115.32315","7808105575.4532","8977720945.46561","9725278096.23161","9953915585.71061","10357314404.0903","10942496018.25","12214953760.6838","13069576863.2461","12462818466.0021","12104023378.8233","12203345267.3602","13735899488.6946","14799562746.5943","15494944784.8261",
