"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1433925367.08944","1602478853.8837","1733343635.21153","1891724147.87737","2091589538.55313","2199960897.76875","2263581614.86766","2459334231.40806","2566892305.66853","2579535396.95835","2872847338.93681","2799573363.75278","2637127972.55591","2867204478.72834","3154765184.8345","2706594377.97089","3391212936.14819","3161477225.44623","3615027525.53788","3283103911.57338","3122230322.64627","3163613120.68283","3285168875.60645","3533775695.47509","3641308245.23705","3672197163.04349","3739360304.0678","3824342328.82359","","","",
"Africa Eastern and Southern","AFE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","486884113732.003","510329501411.552","495786028010.817","518828332353.196","538984782357.878","587448705119.961","631051844101.26","669265309576.653","687660581515.371","712310669538.263","755712460856.353","798202283917.594","845917276213.286","890704758889.727","966494945564.436","1059358762761.6","1160843209963.34","1275612091714.91","1356640303381.69","1406633609779.38","1502953673733.46","1597872641964.67","1648941464757.78","1763299261655.82","1899103661120.32","1981598099538.96","2053421193864.14","2149025736315.08","2242670070580.11","2311257237021.89","",
"Afghanistan","AFG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43028339584.5166","50011958161.6854","51128371957.0037","59760957551.4133","65266760469.2683","69050351843.9249","72481076024.3345","70796494471.4959","75695088352.0683","78220074064.539","83181398439.1382","",
"Africa Western and Central","AFW","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","324182823918.592","340508188655.453","355126231727.009","353617083314.395","365328575501.383","382941298843.306","410843294049.011","436371767747.606","455873390177.818","477135472934.152","481886967696.041","526369041449.975","585822805069.123","626262663316.005","692767160855.594","761975156505.167","866110263863.358","926076228876.188","1000093770184.13","1066451739547.02","1147764086781","1228971688494.81","1306050329291.29","1428379021527.13","1553583364599.6","1611777333173.33","1626648276665.09","1679001404683.65","1752447625834.35","1857043446182","",
"Angola","AGO","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35480228511.7917","40591495323.3689","20613872365.5235","19522786167.0906","17034800884.4593","32787767564.0607","34876995534.1761","42075079115.162","43379232966.395","41869017894.7027","45824413132.5952","49241242737.0739","59221986497.4989","62822142472.9712","70886902138.9611","83763899423.0149","95301356717.7288","111762825324.957","121139863501.036","131544425300.042","139021744322.588","148439198180.964","170976257471.015","185392055550.407","206980822098.846","194201091488.512","194190315018.692","204590018767.271","201850270055.531","201175348457.379","",
"Albania","ALB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8370388896.95758","6133202530.15963","5654999649.53529","6795626702.05485","7387673246.28135","8624189972.00803","9650428397.99002","8743607077.18089","9737208104.49025","11044864238.4979","12296005866.7397","13662090234.915","14638822591.445","15647852171.031","16816911803.791","18045149060.3004","20204747115.4142","22207086230.7757","24354644068.7435","25406899793.8301","27788453990.6953","29662624695.9106","30304881881.9107","31131627755.4839","32830050127.2819","33981492263.6927","35305524051.5747","36792791985.9034","38785246286.433","40062186855.542","",
"Andorra","AND","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1510493133422.37","1680527294518.89","1803745426467.95","1907062076401.45","1981115951540.69","2079223938970.24","2193318586588.96","2317091725286.87","2505567633035.89","2576438369653.82","2796258331198.6","2913988366706.94","2933812397002.9","3108762747477.27","3497871840967.75","3779856841409.11","4159699813156.3","4494366075733.2","4841919718717.46","4893446870843.21","5157123642843.25","5423970618730.36","5931742971316.37","6059219999384.43","6101266965251.47","5633404236420.55","5526668813320.82","5840080974832.29","6098636095099.59","6296567234401.06","",
"United Arab Emirates","ARE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323322696219.949","335107906375.241","335185283546.527","368204626489.705","416456364863.481","455293178514.012","517928620558.761","554759716245.712","572067250138.853","545263477688.5","554578548597.727","605808769081.988","632212172329.896","648063820753.781","679448062185.081","604104698714.526","602327541485.937","641975592252.713","662681897001.005","686863785099.284","",
"Argentina","ARG","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224414841201.701","256629700021.528","286904691995.22","319732323855.904","345024890679.292","340940248365.831","365578607769.469","401629946066.324","420261371702.87","411240751340.26","417017016996.714","406454882835.654","359568619957.362","403024962197.628","417925482274.942","467759982246.662","567943867271.635","640200578858.731","680128095938.519","640783010739.576","711419160856.628","774596879587.266","799048894124.435","829354154809.18","821363404158.217","849527597209.51","865869191296.284","1012879734310.32","999681454622.752","992074661840.312","",
