"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10360","11760","12230","13190","13990","14620","15640","16230","16370","17220","17620","17880","20000","19170","17890","20070","22630","19200","23340","21680","25510","23770","22380","22450","23520","24510","25350","26560","26840","27120","","","",
"Africa Eastern and Southern","AFE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","569.628833025539","541.408741126649","487.420773273126","493.294578812347","562.198403767645","635.328620063193","658.414010533859","639.797172371542","663.592996857473","664.969021173633","666.061912279633","662.761343666893","691.023545966988","700.488991544509","703.404782706708","650.49282118607","630.772480698913","626.234745807164","599.670758448875","584.476414846939","626.974639043697","760.083531149504","946.629665569345","1062.69292020882","1169.53643388455","1256.6554287792","1288.96733275044","1372.76506395438","1487.4431439236","1609.26376388982","1644.43756843248","1635.09410853714","1540.94562371337","1440.75185366883","1413.72615071046","1461.12730948755","1493.24249139771","1368.42571676581",
"Afghanistan","AFG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","450","510","530","630","660","630","600","550","530","520","530","500",
"Africa Western and Central","AFW","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","113.68578179292","122.154793807771","128.213818112568","133.158380912571","136.079672749931","128.796239318197","130.420669383135","143.037535765175","170.469238894859","179.007470508069","192.912449942781","216.300530731459","300.845370346445","358.224073855712","422.64983631712","455.243063828817","478.748946255356","558.929734883722","646.038123015259","762.966952917066","876.497077164951","925.209786766728","757.929096529252","685.78447309183","623.037437596138","614.871519783951","630.1594573287","563.581102139636","556.079695646671","541.629411378169","552.720782295548","470.061747124962","413.420306132313","404.048724761662","435.060122894183","468.240978498862","461.139311180014","462.929842372267","453.472342538025","477.847269038361","522.349086495764","583.646059649111","710.060558986337","839.591827737338","1027.10908942618","1194.59049818234","1439.13269622319","1506.79010764904","1563.74218764175","1598.97910598234","1769.9503837432","1927.13675808913","2063.23305792839","1980.28693446604","1765.50496533378","1607.27034475169","1607.91355278929","1665.5021909367","1646.33456848945",
"Angola","AGO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","590","680","670","650","860","780","1380","1170","","330","440","320","450","410","330","360","390","590","710","1010","1370","1810","2460","3030","3170","3230","3410","4170","4780","5010","4520","3770","3450","3210","2970","2230",
"Albania","ALB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","700","730","730","760","650","410","280","320","380","640","890","800","860","950","1100","1280","1370","1650","2100","2620","3050","3460","4030","4280","4360","4410","4360","4540","4540","4390","4320","4290","4860","5220","5210",
"Andorra","AND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","2717.48582285057","2387.88568870999","2346.98834547297","2320.45755585247","2451.79444054616","2503.69646546517","2534.54212529402","2392.47477841803","2713.65686811778","2005.59867482339","2054.56449766858","1966.55190800434","1951.62035099875","1993.46163584258","2105.46465710842","2202.00431165609","2220.81162071767","2233.29259491405","2379.99259705524","2476.16846741021","2425.37293840264","2571.31821746571","2985.13768233134","3406.16523046137","3927.61361523707","4512.88417855122","5303.33526410871","5372.37078183842","5648.84796400484","5896.06244528997","6804.10264887611","7293.2111450614","7331.5425262813","6839.88229650277","6383.87891275855","5910.80290329594","6110.43681336673","6328.4732277574","5932.8161071538",
"United Arab Emirates","ARE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31400","31970","30940","32780","36160","37500","39380","39590","39910","35000","33400","35030","39220","42840","44330","42860","40570","39290","41470","43470","",
"Argentina","ARG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","1120","1230","1350","1240","1210","1300","1320","1470","1470","1820","2470","2720","2360","2220","2190","2630","2910","2820","2670","2870","2830","2700","3020","3590","3960","2930","3190","3860","6070","7120","7620","7360","7740","8150","8030","7580","7470","7000","4040","3650","3370","4260","5480","6510","7670","7790","9270","10710","11870","12840","12330","12570","12220","13140","12370","11130","8930",
