"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23070","24800","25400","26090","27270","27390","27200","28780","29410","28980","31620","30140","27760","29550","31950","27060","33630","31230","35660","32360","30710","31000","32030","34250","35090","35190","35660","36300","","","",
"Africa Eastern and Southern","AFE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1598.18576767333","1628.39228873462","1538.41783506475","1566.20055098811","1583.47989560947","1680.31806212737","1758.03182609513","1816.48093593643","1818.73447294808","1835.95638901646","1898.23587105665","1953.87771495138","2017.81827198791","2070.21900099167","2188.47138890519","2336.45619622","2493.31970687895","2667.7130147864","2762.04079103527","2787.59529554926","2898.83466269918","2999.2329947629","3011.85950501209","3134.18826147661","3285.21806985941","3336.74362499113","3366.38044202945","3430.7952802961","3487.33398706147","3501.65940642097","",
"Afghanistan","AFG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1520","1710","1700","1920","2020","2070","2110","2000","2090","2100","2190","",
"Africa Western and Central","AFW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1582.89407242677","1618.90609325983","1644.28283660912","1594.63097866026","1604.48481848922","1637.84776295303","1711.03304169726","1769.45432988877","1799.72061912036","1833.9348684507","1803.37103094224","1918.01760991656","2078.54687153307","2163.48388487039","2329.77952984231","2494.02228993212","2758.44055086242","2869.40409352113","3014.39776543188","3126.96103318853","3274.11650610394","3411.1056275433","3527.54885122193","3754.56555865067","3974.54851724203","4013.52318150965","3942.89941786145","3962.0588574646","4026.4920116557","4155.28139008377","",
"Angola","AGO","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2990","3310","1630","1490","1260","2350","2420","2830","2820","2640","2790","2910","3380","3470","3780","4310","4730","5350","5580","5840","5950","6130","6810","7130","7680","6960","6730","6860","6550","6320","",
"Albania","ALB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2550","1880","1740","2110","2300","2710","3050","2780","3110","3550","3980","4460","4800","5150","5560","5990","6750","7480","8260","8680","9540","10210","10450","10750","11360","11800","12280","12800","13530","14040","",
"Andorra","AND","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6784.05688015553","7347.15611166453","7742.84675248429","7971.22479178643","8071.38138235675","8214.79239255705","8468.3808946566","8749.61394484347","9260.13282052182","9321.62112811223","9903.72359523692","10102.8555117672","9956.42640220171","10324.209767559","11361.7862188143","12000.8493919959","12900.1834611543","13607.3021981954","14308.4452371126","14117.2387303355","14531.6076341326","14935.6144004245","15969.6872384204","15958.062206051","15728.975407405","14224.751671019","13678.4210853555","14176.921214327","14525.6810849587","14716.0661343749","",
"United Arab Emirates","ARE","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103160","101460","96350","99190","102360","99230","97720","89930","80690","68870","64860","67710","69160","70460","73740","65220","64340","67670","68810","70300","",
"Argentina","ARG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6880","7760","8560","9410","10030","9790","10370","11260","11650","11280","11310","10900","9540","10580","10860","12030","14460","16130","16970","15830","17440","18770","19150","19650","19250","19700","19860","23000","22470","22080","",
