"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9457830050981","24.8460607336456","24.3193371696971","27.0733728565054","20.6452407898022","23.7302742225986","19.3279022403259","12.016690647482","14.4618573797678","17.0965154173978","-2.04170204831031","13.1633051072464","2.41615039521471","13.7321937321937","10.8964900514196","3.54989483524188","-1.69807186678352","1.88891337888472","6.82143403515693","10.5632532143732","14.8678515075939","15.3560598869891","14.1530385510001","11.3127993823784","","",
"Africa Eastern and Southern","AFE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4045776211063","15.0045624725443","15.2856559486018","17.8231347538964","17.0046320355818","","","","","","20.4370825787784","15.5079321633861","19.2598631109445","19.0283473049597","20.8903836100267","20.5099376014297","21.8207122255435","22.0868909173032","21.538464264857","18.2505672949324","22.1752501049257","21.5833905083828","19.4964905830509","18.8954645842389","19.4109747505377","17.9648257706709","18.1342139273046","18.894799417358","18.6369919979882","18.1284527353422","",
"Afghanistan","AFG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","66.0533340883641","64.066675568094","57.4542756440396","47.1234313656911","38.0763760629183","40.7973088355734","39.7302618833989","37.1808074956272","48.9395977443719","45.3694030619956","43.5034488869585","37.6754159995305","35.2322787547584","33.8666812124733","34.0442293362051","31.9577715076467","33.6565440362948","28.3311091004011","37.3799659064693","41.6311271261641","29.6240148782757","25.8608372207423","24.9729802886958","26.6194022413458","29.8830227457873","39.3469273278768","22.6048916916424","26.6264912768227","22.0353180875291","21.8794115506274","22.2269331787598","28.0791866204159","19.4337396255429","22.0558915783039","17.912063962034","16.2437700660085","18.189557736623","18.6981679215251","21.55389004176","",
"Angola","AGO","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.2078759214148","14.4802221618501","28.8768162146426","26.055460637047","33.5359981811409","41.1876533187137","43.4545834611134","41.4989704192505","38.6588583240985","27.6578678923736","36.9873433164283","37.8885498866507","37.2329993870824","32.0298819474387","29.9667217684189","25.0213265366115","24.4292475387708","23.3519455946258","25.173193699819","25.5248477248254","22.7690255335145",
"Albania","ALB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.8112263051868","28.4100004335346","28.2425665773267","26.0607555881553","23.7252668969749","26.8282680674096","18.7777579223622","-10.9519889602208","-11.9935808855625","11.2082081228168","3.10983687998731","16.3575110147134","16.1361936968792","5.57343244792473","17.3595452557541","14.8934373585699","25.9410492826412","29.5045609733385","25.9386666800329","26.6390066509257","29.4726767345209","30.2559150546741","29.0779808687972","23.9481739312187","17.6516112022676","17.3285295698776","19.9630563667373","20.5437160393925","19.6308204273505","17.7411230673471","15.9372425419315","16.8571194566158","17.0533263017608","16.546644775644","16.8117700522073","14.062302931483","11.1412737955874",
"Andorra","AND","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.1446655659585","41.6157092681223","41.434522827389","44.7341764343308","31.2205077393278","36.4993626210412","40.9197401235618","39.1695412981509","37.2434110344371","33.7951180593812","24.4842284103181","24.2700550108265","27.4282386131355","29.8557444485823","29.0376796230543","",
"United Arab Emirates","ARE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","34.0487067278848","32.5077111151898","30.1794054818106","25.216096734904","22.9884302050286","19.8802568653945","18.3585987862388","18.5376271806435","17.6222626813704","17.6861451460886","14.7833054557019","15.1979016214147","17.6090832147809","13.6301814012069","16.0433766574382","13.5618560304189","13.6516281676646","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.3902143492892","22.2111475246564","21.1014580679688","18.2953229616244","17.3052805596303","17.3484303943707","16.0551647849633","14.9543621104664","15.752009923961","14.1426047002076","14.6381195257706","13.0762522929971","14.4241190515684","15.7963628519449","17.8537791737235",
"Armenia","ARM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-5.43940818045189","2.56882977833482","-2.12991775333434","1.78758883398485","3.91411260681083","0.756174307649044","2.83405555049927","-0.927016879663365","5.41198363085679","10.2454058280205","16.341811815504","19.7148351012962","24.3073170899803","28.5448336883419","28.6006922574089","27.9049203479905","14.0475569152156","13.2007636272863","11.0957231233849","14.0967332030459","14.8367188947641","13.2812573907351","18.4303855933048","17.8144651850326","16.9127711431699","15.4733537154418","10.2414894140722","14.7989327477604",
"American Samoa","ASM","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.2199007591853","20.7161977052518","24.2015577483223","15.8999924024149","18.9729385580654","21.21390989304","21.0424675889672","20.4477859447831","13.354416323509","11.9828950851134","11.8915862766891","13.1875531053812","10.220395365677","11.0371114217981","8.07697496085429","11.3293251765927","24.2614248497659","13.56885825845","10.4193676952227","7.16092291024921","7.22704969732689","2.78827784103962","7.05126463338109","9.74846578437689","15.931131443972","23.3102183214805","","",
"Australia","AUS","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5865520125116","24.3169307148632","20.7085131179558","18.2089106587258","20.1982283472085","21.7444330888593","20.6758633752225","20.9526522984081","21.8674219238275","21.667345665209","20.6842473658235","21.2419059535925","20.8255372723396","21.8456904545298","21.1359845940324","21.5897676031341","21.0405424769714","21.8275889361721","21.4464309275485","21.9927218977088","24.0112959310845","21.7966724205563","23.3008316834885","24.3083626038461","23.9911373796436","23.5936397979751","22.6402075025806","20.6665367914563","21.8345052116675","21.6947847137243","22.4660301913692","23.9187526254983",
"Austria","AUT","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.0564137841862","26.7350904004832","28.1886245635904","28.6971226508836","24.8357557511612","25.8239023334529","26.0932641288984","25.7751751423172","25.4838180823277","25.9848707621721","25.6529443110837","27.1182657899183","26.3460477329859","26.8716824991703","28.4742189692321","26.8494744069519",
"Azerbaijan","AZE","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.19042346049301","2.01176126033814","13.8126775322167","5.97997857350462","9.4145445683558","15.4623286238104","19.7657703006246","19.6539096973196","23.417289601903","25.3881222233945","38.6858202707127","44.2801855544057","44.6101580321221","49.439823206402","39.8041013148322","44.1650261170376","46.2660496277025","43.8078024101403","42.1672807663882","40.181960091063","27.4988808881942","22.081306691579","28.5007782068816","31.7246717524846","28.1473697106119","23.7494465168806",
"Burundi","BDI","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","10.2636614525349","8.63455617300307","14.1953662628949","8.56435892711432","14.3924917485707","8.70394136029835","11.6815140438223","5.14371048637291","12.1115764697723","5.41727512480078","6.01727840108639","3.73755729739957","6.04074612248643","0.665302857107392","2.41802868214964","1.32796784952459","1.48988364734218","4.20017398723748","6.75563090813406","6.58731771530622","15.3535760974519","8.00943548860953","7.33647074802909","-1.50446287828129","9.85337786750853","3.216161071743","1.95368809171983","10.8816154209536","3.93388852458981","0.617073026779929","11.2235232109229","5.87736295412339","6.07269043884234","4.35570880702413","","",
"Belgium","BEL","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3637538782916","26.219796079491","27.1911194965346","27.3162066854377","27.8466578004796","28.7778688407477","27.4207464295817","24.9976133046784","25.3503039621962","23.4992463461915","24.7316659912888","24.233698067482","24.575157329107","25.0080939418707","24.8158872039505","25.1332346500573","24.7290590060688","25.2957403306527","24.3209336385284",
"Benin","BEN","Gross savings (% of GDP)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","11.1018916506305","10.1493346314316","11.215815138723","13.6151012929892","10.5040564325719","12.6413848767821","4.17243288354407","-3.2515576185361","13.2215475129539","8.1925154980758","7.51661402140557","2.63422420507194","4.13737395255718","4.35786381362685","0.770432280531512","4.51420464564828","9.68837395690806","10.7565411618978","9.57520641648833","9.6853137699726","14.5061014694257","15.8971115368403","15.2438913318686","16.1878511780003","15.7985752336947","12.4565304740169","12.6838791668235","13.2789218113217","13.6132887498279","11.3663910044452","13.2568657824723","12.1909297223587","12.4648656389465","14.045190410084","12.6417407527038","11.4543867548819","11.3872624211693","12.125649003128","13.5331677387815","16.2831559488553","18.6021789151427","13.8620300516247","17.4022894323241","17.3991546117987","19.7171457302386","21.7194272910178","",
