"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.5517861127909","71.4519933258417","71.2489955366072","71.1006125416594","70.8516555082442","70.6238569379621","70.3608695876977","70.2442686610956","70.131292288928","70.586327060104","70.7886831734395","71.2638852621692","71.2512986803067","71.0222313567698","71.1107094119064","70.4460569848201","69.8064147243587","68.7896905508807","68.2422200628597","67.9062473515271","67.0679736589642","66.0511291820515","65.4597061533537","64.7352064912861","64.0746168364031","63.5584844019975","62.9263038207444","62.4205034481257","61.8756305700462","",
"Afghanistan","AFG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.379997253418","76.4100036621094","76.7600021362305","76.3399963378906","76.6500015258789","77.0500030517578","77.4100036621094","77.75","78.1900024414063","78.7900009155273","79.6399993896484","78.7200012207031","78.3899993896484","78.9599990844727","78.0899963378906","77.6399993896484","76.379997253418","76.1600036621094","74.2200012207031","72.9000015258789","72.4100036621094","70.9499969482422","69.9899978637695","69.1800003051758","68.5999984741211","67.5599975585938","66.2200012207031","65.7699966430664","64.9599990844727","",
"Africa Western and Central","AFW","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.9039177675565","57.7338702621983","57.5011351759302","57.203811888927","56.8606753349916","56.4492125867897","55.994584451141","55.4887908278607","54.9897619815335","54.5290419191559","53.7822171270071","53.0536634005384","52.4072053675661","51.8157157076862","50.8702445719492","49.9924627910797","48.9724585322031","47.7581473550516","46.6053762338715","45.3939192005504","44.3025547952276","42.8498430390644","41.5350527658914","40.0102447142544","38.5339312306767","37.9182014340581","37.0451870036353","36.359908590953","35.5360883033162","",
"Angola","AGO","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.75","46.5699996948242","47.0999984741211","47.4599990844727","46.8199996948242","46.2400016784668","45.4700012207031","44.4199981689453","45.2400016784668","44.9300003051758","44.0999984741211","43.9900016784668","43.9799995422363","44.2299995422363","46.0800018310547","47.7799987792969","49.3800010681152","51.1399993896484","52.75","55.4700012207031","58.0099983215332","58.4500007629395","58.4599990844727","58.2000007629395","57.7999992370605","57.5200004577637","57.2000007629395","57.060001373291","56.7799987792969","",
"Albania","ALB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.1600036621094","65.0999984741211","64.5699996948242","63.9700012207031","63.2700004577637","64.8399963378906","65.4899978637695","65.0199966430664","64.75","63.9799995422363","63.2000007629395","62.189998626709","61.060001373291","60.3499984741211","59.6599998474121","58.5400009155273","57.7299995422363","56.8899993896484","57.2200012207031","53.0900001525879","54.3699989318848","57","53.1699981689453","49.8800010681152","47.6800003051758","45.2299995422363","42.3899993896484","42.2799987792969","41.6300010681152","",
"Andorra","AND","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9367040596671","47.6858724478964","45.7738122746816","46.2030446217492","44.4971385709414","43.7597014268781","42.9389186541607","41.0270373751559","39.467352781987","41.5601821492536","38.6014350420074","36.6574892759591","38.4289692536031","39.5717054023413","38.8854716700282","37.2571904441981","37.5991468865615","36.2547693138683","35.5836900506243","33.8070588126437","32.9133225097673","30.8599725217338","31.4714150257647","31.1368306308681","29.3667429355759","28.4200321311778","27.7706124302424","23.9764241645553","23.5206701905405","",
"United Arab Emirates","ARE","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0700000002980232","0.0700000002980232","0.0599999986588955","0.0599999986588955","0.0599999986588955","0.0599999986588955","0.0599999986588955","0.0599999986588955","0.0599999986588955","0.0599999986588955","0.0500000007450581","0.0500000007450581","0.0399999991059303","0.0399999991059303","0.0399999991059303","0.0299999993294477","0.0299999993294477","0.0299999993294477","0.0199999995529652","0.0199999995529652","0.0199999995529652","0.0199999995529652","0.0199999995529652","0.00999999977648258","0.00999999977648258","0.00999999977648258","0.00999999977648258","0.00999999977648258","0.00999999977648258","",
"Argentina","ARG","Employment in agriculture, female (% of female employment) (modeled ILO estimate)","SL.AGR.EMPL.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.140000000596046","0.319999992847443","0.300000011920929","0.239999994635582","0.370000004768372","0.219999998807907","0.259999990463257","0.230000004172325","0.239999994635582","0.239999994635582","0.300000011920929","0.469999998807907","0.980000019073486","0.970000028610229","0.730000019073486","0.490000009536743","0.419999986886978","0.349999994039536","0.400000005960464","0.379999995231628","0.28999999165535","0.28999999165535","0.230000004172325","0.159999996423721","0.0700000002980232","0.0299999993294477","0.0199999995529652","0.0599999986588955","0.0299999993294477","",
